mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
1.9106331,10.784665517420196,0.0001690121767245,A,92.72424799681784,0,0,0,0,0,0,0,0,0,3.6837158941370927,6.367224419740983
1.8164871,12.001446394919329,0.0001068524560222,A,83.32329013470728,0,0,0,0,0,0,0,0,1,3.689465913869148,6.443129586844107
1.7326348,12.441458021543534,0.0001357583731794,A,80.37643162629394,0,0,0,0,0,0,0,0,0,3.2102307881055303,5.62280071902663
1.9201826,19.26107025210329,0.000387216365542,A,51.91819493471817,0,0,0,0,0,0,0,0,0,4.1265650969016,7.184310819334457
1.8843893,10.019720939961005,9.540268335960654e-05,A,99.8031787503946,0,0,0,0,0,0,0,0,1,3.5481648532678647,6.136803643067513
1.7742587,33.05456223416199,0.0003686297873611,A,30.25300994506885,0,0,0,0,0,0,0,0,0,3.453898485710236,6.041553730813492
2.2717645,14.145591345816678,0.0003832238777393,A,70.6934037293346,0,0,0,0,0,0,0,0,0,4.546744066495931,7.716165824663529
1.7385039,11.017779386994556,0.000109915856454,A,90.76239093881344,0,0,0,0,0,0,0,0,0,3.160279971399099,5.525766218511719
2.4119139,10.897829644100971,0.0001676877148006,A,91.76139035549184,0,0,0,0,0,0,0,0,0,5.1455206085413705,8.77137639956228
1.9607894,10.529878792402448,0.0001072023454395,A,94.9678547792519,0,0,0,0,0,0,0,0,0,3.7433995859544464,6.457127111560048
2.20828,10.244854686047834,0.0001143620745772,A,97.60997404500723,0,0,0,0,0,0,0,0,0,3.750017481096206,6.391622795317741
1.8150674,19.948297525750952,0.0002487254290495,A,50.12959119489346,0,0,0,0,0,0,0,0,0,3.322810064561588,5.76130453692835
1.7307664,14.277813658762732,0.0001569903227796,A,70.03873449393768,0,0,0,0,0,0,0,0,0,3.290703207696185,5.765404824747084
2.040367,11.140841443189125,9.890606816429008e-05,A,89.75982694838036,0,0,0,0,0,0,0,0,0,3.375162327887462,5.774844184498407
1.7390777,18.56327107958053,0.0001488299173911,A,53.869816139246765,0,0,0,0,0,0,0,0,1,3.315632574297572,5.805555633331371
2.0608108,10.383209788190811,0.0001029960434136,A,96.30933212361124,0,0,0,0,0,0,0,0,1,4.389292757737863,7.43776046889933
1.6954821,17.1161505613333,9.052627886839324e-05,A,58.42435169149989,0,0,0,0,0,0,0,0,1,3.078879454486034,5.396884125763132
1.8231394,11.602232245446109,0.0002037784533064,A,86.19031052343408,0,0,0,0,0,0,0,0,0,3.676116754779133,6.416372807559339
2.0893984,10.0218663762609,0.0002303304512078,A,99.78181333256752,0,0,0,0,0,0,0,0,0,3.0816030702854507,5.251442647849696
2.2383897,11.810972885981034,0.0001100286425421,A,84.66703036690096,0,0,0,0,0,0,0,0,0,4.030547536391593,6.839707845280142
1.731237,16.029121478849397,0.0001841814580067,A,62.3864508931142,0,0,0,0,0,0,0,0,0,3.3685837382094834,5.910889933883047
2.0317812,11.004773957191398,0.0001135413034285,A,90.86965383296402,0,0,0,0,0,0,0,0,1,4.442122592438899,7.672240720954616
2.1332428,11.305998444171124,0.0001350325465638,A,88.44862352829671,0,0,0,0,0,0,0,0,0,3.678520050308749,6.273883009966923
2.1108499,10.662870771603709,0.0001710228862549,A,93.78337423567956,0,0,0,0,0,0,0,0,0,4.7769439985522295,8.230271960521659
1.8904842,13.556775744008872,0.0001152568387596,A,73.76385203110914,0,0,0,0,0,0,0,0,1,3.688890216263101,6.395879708808293
1.7305949,15.743406300155408,0.0001936272405472,A,63.51865542529565,0,0,0,0,0,0,0,0,0,3.2862854007126745,5.758147837376516
