mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
0.57708174,15.185661296161062,0.0001011517140732,M,65.85159384878419,0,0,0,0,0,0,0,0,0,0.2188928513885337,0.4149840274842197
0.50566596,10.892791713715512,6.581329142467659e-05,M,91.80383011830322,0,0,0,0,0,0,0,0,0,0.1352046562817866,0.2544696668880528
0.6092017,10.867656014017804,6.255766683543284e-05,M,92.01616233621448,0,0,0,0,0,0,0,0,0,0.1915443984868759,0.3627823664611168
0.5498708,11.00797509566822,7.177207727769549e-05,M,90.8432287781531,0,0,0,0,0,0,0,0,0,0.1469911038885231,0.2787186025159431
0.52887344,11.294442187873504,6.999108312812484e-05,M,88.53912246092767,0,0,0,0,0,0,0,0,0,0.1385034389798726,0.2609762691901674
0.5609482,11.030657782106758,5.325259791077759e-05,M,90.65642500686926,0,0,0,0,0,0,0,0,0,0.1791926727742416,0.3369749496731737
0.54014254,13.93053018838131,5.126190072510431e-05,M,71.78477677999973,0,0,0,0,0,0,0,0,0,0.1510855708333314,0.2855926133100349
0.63778824,11.103393394267265,8.212395512493732e-05,M,90.06255695815523,0,0,0,0,0,0,0,0,0,0.2228570502279504,0.4190094764928586
0.5485107,10.656224996382509,5.887748241617877e-05,M,93.8418624174576,0,0,0,0,0,0,0,0,0,0.1530100369286783,0.2888962427453326
0.59959,33.054154614709034,7.827147213611162e-05,M,30.25338302117707,0,0,0,0,0,0,0,0,0,0.2365747842330351,0.4481071893616561
0.6505403,12.877735389029828,4.854807251697613e-05,M,77.65340487209197,0,0,0,0,0,0,0,0,0,0.2478082442746483,0.4658512875740702
0.53372556,12.39265380651039,5.8529312288744406e-05,M,80.6929666246835,0,0,0,0,0,0,0,0,0,0.1485317678565784,0.2794915200841649
0.50594896,10.462401639481946,9.054025177979649e-05,M,95.58034899236728,0,0,0,0,0,0,0,0,0,0.1300096826631326,0.2447844563157754
0.5223243,11.454095550203112,5.73177950474871e-05,M,87.30501641242789,0,0,0,0,0,0,0,0,0,0.1446590715945333,0.2720191189309196
0.5990143,14.477063020133787,0.0001011395303232,M,69.07478392608107,0,0,0,0,0,0,0,0,0,0.2247694595101427,0.4264370982867543
0.55749637,10.630738159542938,6.808431651951585e-05,M,94.0668451232924,0,0,0,0,0,0,0,0,0,0.1714295370667186,0.3251438339759985
0.55267954,12.78913373513948,6.641395604864658e-05,M,78.1913787680862,0,0,0,0,0,0,0,0,0,0.1632396931507022,0.3098861210859425
