mass,parallax,pmra_error,pmdec_error,ruwe,teff_gspphot,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,alpha_min,distance_pc,bp_rp,spectral_type,spectral_type_temp,confirm
1.0277904,14.26707577789516,0.010570806,0.012905712,1.0027049,5865.1753,9.020963,8.265144,8.728497,50.0469187408098,70.09144800011228,0.7558190000000007,G,G,True
1.0011688,16.169163083551897,0.014315508,0.018090868,0.9865569,5768.306,8.258845,7.4659595,7.948208,69.20924409804944,61.84611997743107,0.7928855000000006,G,G,True
0.95986134,14.534675721437306,0.012427802,0.015174724,1.0094672,5716.5933,8.835526,8.018912,8.510526,58.84303356597466,68.80098456720931,0.8166139999999995,G,G,True
1.3137097,11.419317311519023,0.025514174,0.022744564,0.9684211,6553.467,8.17773,7.6224623,7.976598,102.54069630186517,87.57090925140233,0.5552677000000008,F,F,True
1.0155772,10.410922391964313,0.010519471,0.011624156,0.83561015,5812.3447,9.223504,8.45363,8.924964,47.03214279075102,96.05296844512563,0.7698739999999997,G,G,True
1.0013615,11.1359080641714,0.009381927,0.013366278,0.9623511,5818.3213,9.637993,8.817505,9.314253,48.99083053245289,89.79959193605357,0.8204879999999992,G,G,True
0.9864152,11.65116788671129,0.021394942,0.01810931,1.1483315,5706.829,9.007551,8.213267,8.697937,84.09052186028562,85.82830577358236,0.7942839999999993,G,G,True
1.04606,37.61505196521486,0.030923741,0.026275275,0.92185503,5906.5347,6.8598742,6.129244,6.577961,121.7374654896608,26.585102179966853,0.7306302000000002,G,G,True
1.3376296,10.105799488267742,0.021163281,0.018919958,0.8504637,6643.147,8.422154,7.856255,8.216933,85.16245335040861,98.95308146188167,0.5658990000000008,F,F,True
1.3569237,15.45446570409195,0.027655493,0.020722533,1.1675242,6518.05,7.3372307,6.7746253,7.133802,103.67375272016655,64.70621625794708,0.5626053999999998,F,F,True
1.0084354,10.39892571273792,0.017583607,0.025094742,1.0605831,5743.571,10.257919,9.440626,9.93565,91.92586034730988,96.16377956956394,0.8172929999999994,G,G,True
0.61341137,11.799119002925934,0.018319167,0.013827076,1.0328404,3566.4768,14.517938,12.073491,13.207724,68.85505930977756,84.75209036810469,2.4444469999999985,M,M,True
0.8723083,11.05292869138565,0.012046459,0.011439684,0.9529249,5160.126,11.126433,10.084057,10.68878,49.838257394564195,90.47375839666573,1.0423760000000009,K,K,True
1.0875956,15.194365615875242,0.025465958,0.017313067,0.87091094,5831.867,7.9532413,7.1962075,7.6620083,92.38136041560699,65.81386977783323,0.7570338000000003,G,G,True
1.0529208,16.290969279745518,0.025770642,0.020795789,1.0886667,5956.4463,8.414581,7.6885343,8.133416,99.3444385107801,61.38370178153212,0.7260467000000004,G,G,True
0.86787415,11.12984941419554,0.014431281,0.014920068,1.04533,5159.5654,11.023938,9.973022,10.579618,62.27224665796364,89.84847528346182,1.050915999999999,K,K,True
0.99673927,12.392647939477836,0.015738575,0.016015599,0.8878692,5635.9116,9.977564,9.132285,9.640707,67.36333861407726,80.69300482703255,0.8452789999999997,G,G,True
1.2397538,54.563099523190026,0.06552601,0.07793865,0.95217216,6421.102,5.172527,4.573806,4.940166,305.471472240999,18.3274045781616,0.5987209999999994,F,F,True
0.7901382,12.946425000033225,0.014550621,0.013228823,0.8722412,4829.2095,11.342149,10.146589,10.826011,58.99577073874644,77.24140061811919,1.1955599999999986,K,K,True
0.7857804,14.37305576585503,0.013913663,0.013327109,1.0484866,4827.757,10.968105,9.820204,10.473995,57.799798194968204,69.57462743417608,1.1479009999999992,K,K,True
0.99440813,14.912464871053606,0.010081305,0.011759675,0.9486508,5667.4155,9.462141,8.614595,9.123454,46.468311777789495,67.05799535133103,0.8475460000000012,G,G,True
1.0043292,22.19159320554788,0.032095432,0.032425128,1.0697807,5838.7803,7.876051,7.1160126,7.582341,136.87056341575814,45.06210936445973,0.7600384,G,G,True
1.074159,15.196871916673386,0.020603715,0.022481184,1.0093119,5956.106,8.398112,7.6671553,8.118061,91.48360701561636,65.80301561289339,0.7309566999999992,G,G,True
0.5631224,11.3450982157065,0.01852357,0.01590852,1.2622877,3598.5857,14.695927,12.425112,13.509065,73.25184562328583,88.14379399691485,2.270814999999999,M,M,True
0.775612,10.058432178634249,0.0128039485,0.01357266,0.7733924,4934.3145,11.519314,10.379825,11.027093,55.976993220396096,99.41907269844332,1.1394889999999993,K,K,True
1.0633166,10.038981716294122,0.01297404,0.013711267,0.84879494,5897.2227,9.309906,8.563318,9.019919,56.62968311761952,99.61169651070435,0.7465879999999991,G,G,True
0.8015717,22.476406586568555,0.01702642,0.01589109,0.96189064,4977.3823,9.58333,8.510828,9.129725,69.87010429819395,44.4910976382488,1.072502,K,K,True
0.8192976,11.532455893288882,0.013976375,0.014119804,0.94124293,5101.2056,10.9485235,9.875066,10.491883,59.60177269386682,86.71179922586421,1.0734575,K,K,True
0.98771477,13.323984255419104,0.01758031,0.01176268,0.90927005,5601.58,9.906191,9.016841,9.54579,63.45747760750106,75.05262546323425,0.8893500000000003,G,G,True
0.5125203,12.575589758240554,0.021112662,0.018599497,1.1601506,3685.9326,14.9378605,12.686565,13.765577,84.41073431983207,79.5191334342565,2.2512954999999994,M,M,True
1.3527728,13.298712737287616,0.022284977,0.018343378,0.8847593,6614.8926,7.6766715,7.144193,7.484326,86.59040043256942,75.19524782245641,0.5324785000000007,F,F,True
0.74726367,13.607589473781648,0.014385163,0.014547199,1.1871811,4751.9336,11.125851,9.892392,10.581992,61.37577062277531,73.48840159579659,1.2334590000000016,K,K,True
0.78080577,13.048497063024156,0.020553512,0.02531396,1.16721,4965.1636,10.824568,9.706244,10.343488,97.8222410177854,76.63717860915372,1.1183239999999994,K,K,True
