,Unnamed: 0,mass,distance_pc,Earth_like_detectability,Super_Earth_detectability,Sub_Neptune_detectability,Neptune_like_detectability,Earth_like_DI,Super_Earth_DI,Sub_Neptune_DI,Neptune_like_DI
168,168,18468.86496,79.05964761536015,1,1,1,1,100.0,100.0,100.0,100.0
169,169,17294.438448,98.77667793086552,1,1,1,1,100.0,100.0,100.0,100.0
170,170,18419.48976,73.31464279694832,1,1,1,1,100.0,100.0,100.0,100.0
171,171,18171.50496,68.53143090012276,1,1,1,1,100.0,100.0,100.0,100.0
172,172,17696.40432,76.05102870287307,1,1,1,1,100.0,100.0,100.0,100.0
173,173,18897.93024,93.8157044695364,1,1,1,1,100.0,100.0,100.0,100.0
174,174,18470.46936,97.84872199894754,1,1,1,1,100.0,100.0,100.0,100.0
175,175,19711.54416,94.7052884180217,1,1,1,1,100.0,100.0,100.0,100.0
176,176,19417.6248,76.58609871899893,1,1,1,1,100.0,100.0,100.0,100.0
177,177,19254.9168,69.17496852496677,1,1,1,1,100.0,100.0,100.0,100.0
178,178,18931.116960000003,64.637488543962,1,1,1,1,100.0,100.0,100.0,100.0
179,179,20157.068736,87.65278084156952,1,1,1,1,100.0,100.0,100.0,100.0
180,180,21371.0532,75.86746941207191,1,1,1,1,100.0,100.0,100.0,100.0
181,181,17921.577072,62.69147060976314,1,1,1,1,100.0,100.0,100.0,100.0
182,182,18202.794624,71.79621170106857,1,1,1,1,100.0,100.0,100.0,100.0
183,183,17493.999264000002,96.90941287009576,1,1,1,1,100.0,100.0,100.0,100.0
184,184,17988.3396,78.83921910803755,1,1,1,1,100.0,100.0,100.0,100.0
185,185,18687.20952,76.6705889350893,1,1,1,1,100.0,100.0,100.0,100.0
186,186,18725.56896,90.9556818858084,1,1,1,1,100.0,100.0,100.0,100.0
187,187,17853.024,92.1829395377802,1,1,1,1,100.0,100.0,100.0,100.0
188,188,19080.97968,92.59725571179928,1,1,1,1,100.0,100.0,100.0,100.0
189,189,20137.76856,91.91649446211994,1,1,1,1,100.0,100.0,100.0,100.0
190,190,18797.40072,88.04811040912797,1,1,1,1,100.0,100.0,100.0,100.0
191,191,18748.240224,81.5604189948331,1,1,1,1,100.0,100.0,100.0,100.0
192,192,18475.03056,94.77269477564823,1,1,1,1,100.0,100.0,100.0,100.0
193,193,19870.94256,84.20987823997916,1,1,1,1,100.0,100.0,100.0,100.0
194,194,20736.857232,87.28312361016856,1,1,1,1,100.0,100.0,100.0,100.0
195,195,18230.17728,21.05405842436165,1,1,1,1,100.0,100.0,100.0,100.0
196,196,20135.56272,71.88735449290283,1,1,1,1,100.0,100.0,100.0,100.0
197,197,19306.29456,96.18008675791827,1,1,1,1,100.0,100.0,100.0,100.0
198,198,19250.39424,56.76146947715372,1,1,1,1,100.0,100.0,100.0,100.0
199,199,18047.530032,95.17177070607823,1,1,1,1,100.0,100.0,100.0,100.0
200,200,18660.527088000003,58.85475961903906,1,1,1,1,100.0,100.0,100.0,100.0
201,201,16966.09488,96.3810663695196,1,1,1,1,100.0,100.0,100.0,100.0
202,202,19041.057168,90.28669512819532,1,1,1,1,100.0,100.0,100.0,100.0
203,203,19130.73288,99.50352741281448,1,1,1,1,100.0,100.0,100.0,100.0
204,204,17585.186976,75.96355732242874,1,1,1,1,100.0,100.0,100.0,100.0
205,205,20138.37336,99.98164144157248,1,1,1,1,100.0,100.0,100.0,100.0
206,206,18247.15536,77.68945326637811,1,1,1,1,100.0,100.0,100.0,100.0
207,207,19139.3496,97.0416206348952,1,1,1,1,100.0,100.0,100.0,100.0
208,208,17972.45856,95.10824972204192,1,1,1,1,100.0,100.0,100.0,100.0
209,209,17848.644239999998,78.19546997145801,1,1,1,1,100.0,100.0,100.0,100.0
210,210,20135.10912,75.44108447410764,1,1,1,1,100.0,100.0,100.0,100.0
211,211,18363.13248,72.02147878258211,1,1,1,1,100.0,100.0,100.0,100.0
212,212,18220.611360000003,90.26785103019624,1,1,1,1,100.0,100.0,100.0,100.0
213,213,16922.255952,94.81013630454866,1,1,1,1,100.0,100.0,100.0,100.0
214,214,19397.65632,84.90077662566146,1,1,1,1,100.0,100.0,100.0,100.0
215,215,17551.967999999997,97.05468871210653,1,1,1,1,100.0,100.0,100.0,100.0
216,216,19031.04,80.56291648310183,1,1,1,1,100.0,100.0,100.0,100.0
217,217,19162.752,55.90632172345197,1,1,1,1,100.0,100.0,100.0,100.0
218,218,18685.170672,74.4578213946931,1,1,1,1,100.0,100.0,100.0,100.0
219,219,18059.2608,67.49729117682602,1,1,1,1,100.0,100.0,100.0,100.0
220,220,17723.985216,93.66453124461324,1,1,1,1,100.0,100.0,100.0,100.0
221,221,17345.556480000003,96.41086506535584,1,1,1,1,100.0,100.0,100.0,100.0
222,222,18099.7908,81.14329332346536,1,1,1,1,100.0,100.0,100.0,100.0
223,223,18098.645376,76.15656617108081,1,1,1,1,100.0,100.0,100.0,100.0
224,224,19465.392912,61.6778786049899,1,1,1,1,100.0,100.0,100.0,100.0
225,225,19889.67792,95.79189867156948,1,1,1,1,100.0,100.0,100.0,100.0
226,226,20146.242144,75.45836240044527,1,1,1,1,100.0,100.0,100.0,100.0
227,227,17331.502944,64.23940744692915,1,1,1,1,100.0,100.0,100.0,100.0
228,228,17261.042400000002,84.57674858355509,1,1,1,1,100.0,100.0,100.0,100.0
229,229,19413.013872,98.88748446129354,1,1,1,1,100.0,100.0,100.0,100.0
230,230,18398.601984,68.60255680907855,1,1,1,1,100.0,100.0,100.0,100.0
231,231,18421.49232,97.33853826511913,1,1,1,1,100.0,100.0,100.0,100.0
232,232,18112.85616,82.4460777756489,1,1,1,1,100.0,100.0,100.0,100.0
233,233,17807.39184,79.02000103750102,1,1,1,1,100.0,100.0,100.0,100.0
234,234,17298.4728,93.70352903174523,1,1,1,1,100.0,100.0,100.0,100.0
235,235,17737.39128,83.89574575358085,1,1,1,1,100.0,100.0,100.0,100.0
236,236,19191.699744,89.74775318646165,1,1,1,1,100.0,100.0,100.0,100.0
237,237,17715.651744,77.50739207836276,1,1,1,1,100.0,100.0,100.0,100.0
238,238,20977.32336,93.82887192496624,1,1,1,1,100.0,100.0,100.0,100.0
239,239,19153.30032,79.95235047600019,1,1,1,1,100.0,100.0,100.0,100.0
240,240,18146.964864,88.34315109376256,1,1,1,1,100.0,100.0,100.0,100.0
241,241,18453.63744,80.77516314821695,1,1,1,1,100.0,100.0,100.0,100.0
242,242,19232.659152,96.6778698375359,1,1,1,1,100.0,100.0,100.0,100.0
243,243,20122.81152,84.21922193378406,1,1,1,1,100.0,100.0,100.0,100.0
244,244,18098.12592,75.55836084619014,1,1,1,1,100.0,100.0,100.0,100.0
245,245,18558.757056,80.59013086682788,1,1,1,1,100.0,100.0,100.0,100.0
246,246,17214.40392,80.63837140366188,1,1,1,1,100.0,100.0,100.0,100.0
247,247,20189.80656,61.32088287130266,1,1,1,1,100.0,100.0,100.0,100.0
248,248,17647.687680000003,75.64460950134475,1,1,1,1,100.0,100.0,100.0,100.0
249,249,17808.137759999998,81.07874090395494,1,1,1,1,100.0,100.0,100.0,100.0
250,250,17847.5388,95.64754738169734,1,1,1,1,100.0,100.0,100.0,100.0
251,251,17900.719200000003,99.9092129503938,1,1,1,1,100.0,100.0,100.0,100.0
252,252,18388.924848,72.24695615926917,1,1,1,1,100.0,100.0,100.0,100.0
253,253,18476.58288,95.73750785223744,1,1,1,1,100.0,100.0,100.0,100.0
254,254,17457.181392,69.40408493792751,1,1,1,1,100.0,100.0,100.0,100.0
255,255,17590.610352,81.98089703664567,1,1,1,1,100.0,100.0,100.0,100.0
256,256,19987.597056,93.57291295949923,1,1,1,1,100.0,100.0,100.0,100.0
257,257,18136.011936000003,90.12751974345213,1,1,1,1,100.0,100.0,100.0,100.0
258,258,19013.66544,93.88885054118605,1,1,1,1,100.0,100.0,100.0,100.0
259,259,19125.54336,17.439385162840452,1,1,1,1,100.0,100.0,100.0,100.0
260,260,18480.13104,91.0619605502758,1,1,1,1,100.0,100.0,100.0,100.0
261,261,17192.57232,99.73857249113487,1,1,1,1,100.0,100.0,100.0,100.0
262,262,19704.805344,80.75345861536744,1,1,1,1,100.0,100.0,100.0,100.0
263,263,19254.64464,87.46940878644389,1,1,1,1,100.0,100.0,100.0,100.0
264,264,18335.06304,99.40252544784391,1,1,1,1,100.0,100.0,100.0,100.0
265,265,20142.67584,95.16254541323798,1,1,1,1,100.0,100.0,100.0,100.0
266,266,19805.89968,91.10203432447706,1,1,1,1,100.0,100.0,100.0,100.0
267,267,16861.35528,78.00308512157586,1,1,1,1,100.0,100.0,100.0,100.0
268,268,17148.332544,97.06333128965356,1,1,1,1,100.0,100.0,100.0,100.0
269,269,17734.086720000003,93.8612989341436,1,1,1,1,100.0,100.0,100.0,100.0
270,270,17687.52048,93.45495670369148,1,1,1,1,100.0,100.0,100.0,100.0
271,271,20141.51664,22.68601019863413,1,1,1,1,100.0,100.0,100.0,100.0
272,272,17240.178816,68.87894730763408,1,1,1,1,100.0,100.0,100.0,100.0
273,273,19196.89968,17.197538156182457,1,1,1,1,100.0,100.0,100.0,100.0
274,274,17772.48816,83.12570470009467,1,1,1,1,100.0,100.0,100.0,100.0
275,275,18739.260960000003,80.49852511164156,1,1,1,1,100.0,100.0,100.0,100.0
276,276,19350.24,68.15662556072672,1,1,1,1,100.0,100.0,100.0,100.0
277,277,20645.2176,88.6336943412386,1,1,1,1,100.0,100.0,100.0,100.0
278,278,18014.73072,80.26554982481281,1,1,1,1,100.0,100.0,100.0,100.0
279,279,18338.220096,89.79372758744056,1,1,1,1,100.0,100.0,100.0,100.0
280,280,18475.23552,96.16643113717105,1,1,1,1,100.0,100.0,100.0,100.0
281,281,18462.48768,87.05041264996463,1,1,1,1,100.0,100.0,100.0,100.0
282,282,18104.198784,81.3010662413565,1,1,1,1,100.0,100.0,100.0,100.0
283,283,21488.1408,97.17887507728504,1,1,1,1,100.0,100.0,100.0,100.0
284,284,18234.72336,90.2104726860693,1,1,1,1,100.0,100.0,100.0,100.0
285,285,19444.32,90.16808980608884,1,1,1,1,100.0,100.0,100.0,100.0
286,286,20394.829392,85.96347987507895,1,1,1,1,100.0,100.0,100.0,100.0
287,287,20075.7984,80.018960157987,1,1,1,1,100.0,100.0,100.0,100.0
288,288,20737.06656,85.4173187406303,1,1,1,1,100.0,100.0,100.0,100.0
289,289,17631.82008,93.60312629536458,1,1,1,1,100.0,100.0,100.0,100.0
290,290,21144.4464,97.16313069572097,1,1,1,1,100.0,100.0,100.0,100.0
291,291,18479.028960000003,95.475699162347,1,1,1,1,100.0,100.0,100.0,100.0
292,292,18484.48896,99.52049233703995,1,1,1,1,100.0,100.0,100.0,100.0
293,293,18199.6584,90.39028240328906,1,1,1,1,100.0,100.0,100.0,100.0
294,294,18186.4032,96.6615180121195,1,1,1,1,100.0,100.0,100.0,100.0
295,295,22974.758016,82.95115804876906,1,1,1,1,100.0,100.0,100.0,100.0
296,296,21315.938448,81.2247627002175,1,1,1,1,100.0,100.0,100.0,100.0
297,297,17772.158880000003,76.18637677370154,1,1,1,1,100.0,100.0,100.0,100.0
298,298,18800.3424,75.65761724156532,1,1,1,1,100.0,100.0,100.0,100.0
299,299,17322.99912,98.67082950864034,1,1,1,1,100.0,100.0,100.0,100.0
300,300,18228.86352,94.72757678398554,1,1,1,1,100.0,100.0,100.0,100.0
301,301,17394.297984,93.31023217760372,1,1,1,1,100.0,100.0,100.0,100.0
302,302,18251.696736,82.16628595771209,1,1,1,1,100.0,100.0,100.0,100.0
303,303,17925.33624,96.64338549831348,1,1,1,1,100.0,100.0,100.0,100.0
304,304,19013.27232,73.19431835165469,1,1,1,1,100.0,100.0,100.0,100.0
305,305,18471.08424,93.31700899310364,1,1,1,1,100.0,100.0,100.0,100.0
306,306,18813.648,80.65806627670271,1,1,1,1,100.0,100.0,100.0,100.0
307,307,18116.73024,95.84774091635312,1,1,1,1,100.0,100.0,100.0,100.0
308,308,19077.04176,76.23026794225869,1,1,1,1,100.0,100.0,100.0,100.0
309,309,17859.254448,87.74512001960352,1,1,1,1,100.0,100.0,100.0,100.0
310,310,18155.1552,99.15005631572004,1,1,1,1,100.0,100.0,100.0,100.0
311,311,17938.492319999998,93.13248727027543,1,1,1,1,100.0,100.0,100.0,100.0
312,312,17386.69632,66.63890890435067,1,1,1,1,100.0,100.0,100.0,100.0
313,313,18562.34688,80.68328033891096,1,1,1,1,100.0,100.0,100.0,100.0
314,314,17125.797695999998,96.90260162780864,1,1,1,1,100.0,100.0,100.0,100.0
315,315,19269.455520000003,93.33875447513148,1,1,1,1,100.0,100.0,100.0,100.0
316,316,18446.95104,84.00493319188622,1,1,1,1,100.0,100.0,100.0,100.0
317,317,18458.8824,65.46646460716192,1,1,1,1,100.0,100.0,100.0,100.0
318,318,19282.45536,27.04575148470723,1,1,1,1,100.0,100.0,100.0,100.0
319,319,18626.685168000004,99.99841754895576,1,1,1,1,100.0,100.0,100.0,100.0
320,320,18139.28424,86.3259779011643,1,1,1,1,100.0,100.0,100.0,100.0
321,321,20654.67768,88.23820637182999,1,1,1,1,100.0,100.0,100.0,100.0
322,322,18375.116256,78.5469099961631,1,1,1,1,100.0,100.0,100.0,100.0
323,323,18052.3392,52.699319283835216,1,1,1,1,100.0,100.0,100.0,100.0
