,mass,distance_pc,Earth_like_detectability,Super_Earth_detectability,Sub_Neptune_detectability,Neptune_like_detectability
47,18731.496,31.179663735267816,1,1,1,1
48,17394.7704,98.48659422559638,1,1,1,1
49,18861.321696,81.14357943561325,1,1,1,1
50,18185.139840000003,85.95162578154428,1,1,1,1
51,20143.067952,79.34007109307001,1,1,1,1
52,18161.976,87.70944506779318,1,1,1,1
53,17895.50448,81.86851750893183,1,1,1,1
54,18035.54928,34.35650803613673,1,1,1,1
55,18531.372048,36.579631255062026,1,1,1,1
56,21206.97264,52.076554011904456,1,1,1,1
57,18203.15952,67.55817475960198,1,1,1,1
58,17544.287040000003,79.13816445434418,1,1,1,1
59,22312.537968,76.0793281082096,1,1,1,1
60,19440.198624,90.10884033698473,1,1,1,1
61,16833.30768,94.1577998840125,1,1,1,1
62,18170.100479999997,92.19020204749016,1,1,1,1
63,17224.201344,94.16829807893043,1,1,1,1
64,18272.27808,70.81670105140999,1,1,1,1
65,18135.398400000002,76.70542396080876,1,1,1,1
66,18104.965871999997,94.3651767447342,1,1,1,1
67,18413.508960000003,89.07624644721452,1,1,1,1
68,18082.88496,94.23863818576967,1,1,1,1
69,18069.840096,88.58899094275509,1,1,1,1
70,17770.330032,89.66275424624945,1,1,1,1
71,18117.737232,46.0314846573768,1,1,1,1
72,17287.34784,83.51615183748224,1,1,1,1
73,16918.672848,92.46409465733451,1,1,1,1
74,20313.07152,87.5160224256703,1,1,1,1
75,18150.283199999998,78.97763489783645,1,1,1,1
76,18627.45024,86.70663625837413,1,1,1,1
77,20384.725535999998,99.59614270565334,1,1,1,1
78,17160.19536,74.1942774185224,1,1,1,1
79,18091.06656,84.0048580356084,1,1,1,1
80,17021.72472,95.12745684217911,1,1,1,1
81,18585.921984,70.34465896528005,1,1,1,1
82,19160.11104,90.3431002821954,1,1,1,1
83,18436.44096,87.0835113248124,1,1,1,1
84,17660.39856,92.741894075283,1,1,1,1
85,17487.55008,96.15047044323669,1,1,1,1
86,20100.139584,48.42501483663319,1,1,1,1
87,19168.09104,88.24179342510179,1,1,1,1
88,17519.26176,94.17753273555344,1,1,1,1
89,19107.69504,18.91961467038151,1,1,1,1
90,17726.079840000002,90.11059398819594,1,1,1,1
91,17489.67696,98.82943314513405,1,1,1,1
92,17613.58536,78.11238681939085,1,1,1,1
93,17383.15824,94.65975516348334,1,1,1,1
94,20158.126128,88.97880249840861,1,1,1,1
95,17874.5532,83.20355962347469,1,1,1,1
96,20143.65864,26.07257503716845,1,1,1,1
97,17807.71272,73.92978493403763,1,1,1,1
98,18303.148416,68.09462001651116,1,1,1,1
99,18476.66184,97.22939931029744,1,1,1,1
100,18158.532,98.27767492059355,1,1,1,1
101,19534.03536,68.03557847656997,1,1,1,1
102,18310.68624,99.9847306644017,1,1,1,1
103,18048.996000000003,71.96415957986981,1,1,1,1
104,18192.396432,69.96796262189527,1,1,1,1
105,18686.514336,73.03595489795829,1,1,1,1
106,18128.90016,60.15568259000365,1,1,1,1
107,18151.885919999997,83.39539934071689,1,1,1,1
108,18414.010943999998,92.42772370391076,1,1,1,1
109,19157.018496,91.04157783537217,1,1,1,1
110,18270.0,87.05824809316616,1,1,1,1
111,20144.18784,23.386896773371816,1,1,1,1
112,18485.13744,81.41793572136613,1,1,1,1
113,16940.69496,70.73721405515487,1,1,1,1
114,18078.81936,95.73669749203944,1,1,1,1
115,18338.9304,89.8675581204356,1,1,1,1
116,19212.213552,18.734162815978664,1,1,1,1
117,16823.26968,90.61678288811176,1,1,1,1
118,18196.5672,78.58978551891688,1,1,1,1
119,18326.30352,86.59497727586816,1,1,1,1
120,19108.908,32.18376595722877,1,1,1,1
121,17731.38528,98.46162363234863,1,1,1,1
122,19897.53024,79.53452063189667,1,1,1,1
123,19318.608959999998,93.5677812964152,1,1,1,1
124,17554.83744,99.93768383757524,1,1,1,1
125,21562.91088,78.20374575021216,1,1,1,1
126,18051.408480000002,93.79527301718944,1,1,1,1
127,19362.414960000002,71.71565665333674,1,1,1,1
128,20980.89168,91.48992718953498,1,1,1,1
129,17691.963744,79.70562475868672,1,1,1,1
130,21710.16624,71.53070490900919,1,1,1,1
131,20890.44048,81.583406348548,1,1,1,1
132,18468.098879999998,97.45947045276336,1,1,1,1
133,16864.25328,97.16975400987556,1,1,1,1
134,17159.49312,90.59771123971558,1,1,1,1
135,18367.520640000002,20.23098732852689,1,1,1,1
136,18482.830127999998,86.89843534094734,1,1,1,1
137,20087.903136,52.34021898324372,1,1,1,1
138,18452.736960000002,22.377212643599577,1,1,1,1
139,17562.740159999998,82.6309276611015,1,1,1,1
140,18472.05024,95.21076246247443,1,1,1,1
141,18466.46592,88.97566197160302,1,1,1,1
142,18635.42688,98.0564395589342,1,1,1,1
143,18248.80848,87.21820538725554,1,1,1,1
144,16981.57104,98.51872263449596,1,1,1,1
145,18432.74832,87.6721778022625,1,1,1,1
146,18436.87776,81.5731716269024,1,1,1,1
147,18300.71712,90.9497383673054,1,1,1,1
148,19054.68096,6.164578207302766,1,1,1,1
149,20996.07552,66.90021823709932,1,1,1,1
150,17342.686032,97.02700379161055,1,1,1,1
151,18436.41744,89.36284929877333,1,1,1,1
152,19672.233168,61.98999395884695,1,1,1,1
153,17263.76736,90.98403263198512,1,1,1,1
154,17896.08576,95.41762725997296,1,1,1,1
155,16838.345999999998,91.47573764568467,1,1,1,1
156,18034.700544,76.36537459832215,1,1,1,1
157,19437.64368,88.89401010363791,1,1,1,1
158,19372.90992,87.77751777205529,1,1,1,1
159,18189.135888,85.27318527600652,1,1,1,1
160,19225.30848,84.94195127458761,1,1,1,1
161,19547.984736,71.2874854414006,1,1,1,1
162,19599.01104,75.17895361138147,1,1,1,1
163,17664.710784000003,91.61631198431084,1,1,1,1
164,18328.59168,98.77885257198284,1,1,1,1
165,19303.82832,74.21005850966584,1,1,1,1
166,19927.048848,75.33777394472075,1,1,1,1
167,18981.54048,91.87379936029626,1,1,1,1
168,18468.86496,79.05964761536015,1,1,1,1
169,17294.438448,98.77667793086552,1,1,1,1
170,18419.48976,73.31464279694832,1,1,1,1
171,18171.504960000002,68.53143090012276,1,1,1,1
172,17696.40432,76.05102870287307,1,1,1,1
173,18897.93024,93.8157044695364,1,1,1,1
174,18470.46936,97.84872199894754,1,1,1,1
175,19711.54416,94.7052884180217,1,1,1,1
176,19417.624799999998,76.58609871899893,1,1,1,1
177,19254.9168,69.17496852496677,1,1,1,1
178,18931.116960000003,64.637488543962,1,1,1,1
179,20157.068736,87.65278084156952,1,1,1,1
180,21371.0532,75.86746941207191,1,1,1,1
181,17921.577072,62.69147060976314,1,1,1,1
182,18202.794624000002,71.79621170106857,1,1,1,1
183,17493.999264000002,96.90941287009576,1,1,1,1
184,17988.3396,78.83921910803755,1,1,1,1
185,18687.20952,76.6705889350893,1,1,1,1
186,18725.56896,90.9556818858084,1,1,1,1
187,17853.024,92.1829395377802,1,1,1,1
188,19080.979679999997,92.59725571179928,1,1,1,1
189,20137.76856,91.91649446211994,1,1,1,1
190,18797.40072,88.04811040912797,1,1,1,1
191,18748.240224,81.5604189948331,1,1,1,1
192,18475.03056,94.77269477564823,1,1,1,1
193,19870.94256,84.20987823997916,1,1,1,1
