mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
1.2849933,11.306789405247072,9.112511170019872e-05,F,88.44243614689915,0,0,0,0,0,0,0,0,0,1.811084341568216,3.2880490418872195
1.2526901,13.566558397714076,9.429099772616858e-05,F,73.71066195893108,0,0,0,0,0,0,0,0,1,1.7113895335675484,3.1145265505124247
1.3776611,38.07726615492478,0.0004419203201923,F,26.26238963509893,0,0,0,0,0,0,0,0,0,2.266427833757611,4.109171328645876
1.3267618,24.42892680295976,6.368566229013327e-05,F,40.93507701201356,0,0,0,0,0,0,0,0,1,1.936473672589007,3.5044321587205047
1.4234343,13.408940237210576,0.0001121328266273,F,74.57710917563364,0,0,0,0,0,0,0,0,0,2.1949849167637114,3.940570498541349
1.2453935,14.04525025791578,0.0001068964867583,F,71.19844656640481,0,0,0,0,0,0,0,0,0,1.7249123682127383,3.1409686544835367
1.4121718,12.508716398725818,0.0001149627800163,F,79.94425392055923,0,0,0,0,0,0,0,0,0,2.3353630269773378,4.215104449789
1.3659042,13.452126114665807,7.63800821001092e-05,F,74.33769141591512,0,0,0,0,0,0,0,0,1,2.1663216969927985,3.921758448136598
1.2500366,10.327232112892698,0.0001204851118709,F,96.83136672715844,0,0,0,0,0,0,0,0,0,1.7990539778641297,3.2791179171570897
1.3907753,11.02679321303207,0.0001596349156682,F,90.68819743696156,0,0,0,0,0,0,0,0,0,2.122721141988954,3.827637622495677
1.6220965,11.78103915082296,0.0001538398011127,F,84.88215574176624,0,0,0,0,0,0,0,0,0,3.0683579016785347,5.465699828358415
1.3208479,11.336016173162555,0.0001672698849401,F,88.2144118996098,0,0,0,0,0,0,0,0,0,2.0626551156061703,3.749677208978627
1.3983887,20.264944730685546,0.0001033807672753,F,49.346297919371175,0,0,0,0,0,0,0,0,1,2.378599531275319,4.326064890733939
1.3689166,12.365124943803425,9.758010480016517e-05,F,80.87261588902369,0,0,0,0,0,0,0,0,1,2.136650200182587,3.857948019315878
1.2810345,10.75896553433322,0.0001088567586939,F,92.94573877096953,0,0,0,0,0,0,0,0,0,1.940464162251389,3.5314698828405664
